,Cleaned Text
102,goblok bani cebong tukang tipu penjilat penguasa ketahuan gerakan dibayar pakai nasi bungkus propaganda nasi bungkus gagal
103,cebong sewot
104,gerakan menekankan kerja keras total tingkatkan potensi bangsa
105,gubernur djarot mayoritas ai politik dewan perwakilan rakyat daerah pendukung ahok djarot payah ya
106,rezim rusak memperbaiki sistemnya sibuk cari kesalahan ketemu komisi pemberantasan korupsi alatnya besok pemerintah berganti berulang engah selesai organisasi orangnya
107,orang orang menuding antek asing asing sesungguhnya be epuk tangan
108,anti asing
109,selamat semoga berkiprah tingkat nasional
110,asyikmnang sih ulama
111,ketahui diketapang tenaga kerja asing asing perusahaan pt who tambang bauksit viral pemilihan presiden kerja era gubernur cornelis wakilnya
112,anak pecun hobi zina haha
113,bom surat berharga syariah negara
114,istirahat presiden momentum saksi telinga mata rapat pembentukan pacitan
115,house select committee on assassination hsca menemukan cacat investigasi fbi warren commission hsca menyimpulkan tembakan konspirasi dalamnya
116,genap april digelar hajatan pemilihan presiden acara tahunan negara indonesia memilih presiden semoga senantiasa berjalan aman lancar amin
117,ian pantat
118,mengakuinya orang pintar beragama memangnya agama memperbolehkan menista menghujat orang orang bodoh orang maaf lahir idiot hargai ciptaan tuhan iblis pintar licik
119,pendaftaran calon presiden pemilihan presiden dibuka agustus normatif politikus partai demokrasi indonesia perjuangan paham ganti presiden
120,sih tolol tau pemerintah rezim komunis bobrok koruptor pimpinan sidang dewan perwakilan rakyat paya cebong
121,gue mantan mantan gue sedih kepikiran tidak bisa tidur lo gue anak berengsek laki
122,cina perusak bangsa usir setuju
123,ganti presiden konstitusional hak rakyat woiii nih plonga plongo kelakuan otoriter
124,mari wujudkan pilihan kepala daerah kota bengkulu aman damai coki adem heru
125,serius presiden jokowi islam nusantara kristen nusantara buddha hindu kong hucu nusantara
126,kebersamaan pernyataan moeldoko bukti istana takut kebangkitan umat islam
127,cowok jago drasex ngentot adik luvian
128,kroasia kafir tau belajar kafir lupa kapling sorga
129,nya menteri suha o homo
130,gue tau culun takut orang berubah perlahan buruk
131,perang salib kerajaan afrika terbagi babilonia pemeluk kristen tobaco pemeluk islam
132,kejar setoran bangsat rupiah turun
133,semoga tindak pelaporan penista agama adek armando langsung ketua front pembela islam kh shobri lubis badan reserse kriminal markas besar kepolisian republik indonesia gambir jaka a pusat selasa waktu indonesia bagian barat perhaps
134,bangkai hajar
135,onta mati kebanyakan minum
136,ahok tng was was hidupnya
137,sul teng ekses akibat tersandera hutang cina ganti presiden presidenbaru tetapjokowiganti
138,pride yunani hyper phania keangkuhan harga kesombongan dikenal sebutan hubris vanity harga mengubah manusia sombong kesombongan manusia terkutuk dimata tuhan manusia mencintai
139,be anya tujuan hati logikaku hati tenang be anya logika hatiku sedih ku cari wasiat beliau tinggalkan terasing asing mata manusia duhai
140,be aji nya komisi pemberantasan korupsi era era komitmen pemberantasan korupsi surat pemberitahuan tahunan era susilo bambang yudhoyono
141,admin tolol ai tolol ai tolol orang tolol
142,ayu ting ting goyang hot raffi ahmad nagita slavina kampungan norak
143,video tenaga kerja asing malaysia mengutip pernyataan
144,ppp buru buru tolak wacana pilihan kepala daerah dewan perwakilan rakyat daerah
145,random pagi menyamper meja kerja pakai bedak sih biar mukanya bersih istri butek ku pakai air wudhu ku kristen
146,gue kampret
147,memek lonte disodok kontol gede
148,jokowi mundur tutup
149,berbicara mulut sepe i banci beli kaca lihat dirimu bro
150,amin racist nada dani nada ratna sih paiiit nada sih onta nada sih lobang anus takut oi oi kehabisan obat penenang ya
151,tunggu komando imam bejat cabul tai bir bawa ulama dasar banj sempak
152,kabinet berantakan pemecah belah persatuan rezim
153,ih mengakui pintar orang politik mengaca oi tampang k k orang bego wkwk
154,partai demokrasi indonesia perjuangan menang menekan perusahaan tambang target proyek impossible dilelang murah antek cina ntb contoh partai demokrasi indonesia perjuangan menang dasar bajingan
155,percaya mulut buaya mu bawang
156,susilo bambang yudhoyono prabowo menyatu melawan mega jokowi peristiwa terulang dimana partai demokrasi indonesia perjuangan incumbent dikalahkan mutlak susilo bambang yudhoyono jokowi mega susilo bambang yudhoyono melawan prabowo mk pemilihan presiden selesai poros pemilihan presiden mk salah lawan
157,kayak banci kaleng gatot gaduh gentleman mundur bersaing pemilihan presiden melawan jokowi
158,bebal
159,indonesia negara populasi muslim terbesar dunia islam musuh barat amp komunis menghambat agenda kepentingan obviously
160,umuh persib persib kunyuk
161,film muslim pilih ahok mati disalatkan dijamin laris
162,banu banu yahudi beda banu banu kristen suriah salah perbedaan banu yahudi pakai eloah elohim yahwe suriah pakai alah allah
163,eh muka merah cendol setan cuaca nih panas
164,pemberitaan saracen diframing katak seakan tim prabowo anies sandi media menumpahkan sakit hati katak cebong ehe
165,giat bhayangkara pembina keamanan dan ketertiban masyarakat brigadir polisi manajemen berbasis sekolah sihombing rabu april melaksanakan sambang desa tatap muka memantau keamanan dan ketertiban masyarakat pilihan kepala daerah desa lobusiregar i tepatnya di rumah rudi panjaitan helman siahaan hotman siahaan
166,sayang banget ya perempuan kayak status menempel laki laki aduh nagita slavina blak blak ayu ting ting kampungan viva
167,lupa kang umat katolik minoritas diperhatikan gubernur golongan golongan
168,cebong dibilangi kemarin mengeyel situ memaksa cebong
169,kelemahan gerindra orang prabowo turun elektabilitasnya congor fadli zon surat pemberitahuan tahunan durno
170,selamat kakak kali dirayakan maknanya kali
171,foto bisu memiliki a i susah ikan sepe i susah ikan putus
172,wkwk mengalaminya muncul grub wa a bani abdi hadi a k a mbahku mek kenal orang
173,ayah pres badar nuqaba boekkk nih hebat bidang agama x takut natural killer tegur member lawak hambar lawak orang jom gerak gerakan badan chubby
174,anak pekan mengilhamkan dasar ekonomi deb penggerak utama kemajuan ekonomi bandar beliau allah ya rahman tun abdul razak ds malaysia memilih hogohundi
175,haha sialaaan nih sih lapar presiden disikat
176,menasihati kali ugalan nih rezim eh negeri keburu hancur ekonomi moral menikah kacaoooooo
177,alah silit kebelet dikasihani orang sayang media sosial gue sadar satu instansi kemarin gue ceritakan duuuhhh
178,iya cacat
179,rakyat makan aspal beton solusi jitu mengurangi kemiskinan keahlian cebong tukang tipu cebong goblok ketulungan plonga plongo mengakibatkan optimisme ganti presiden
180,baca harun yahya membelot kubu yahudi freemason nya kadang suka percaya
181,maju ulama bergerak tokoh agama indonesia ikut gus mus
182,
183,mukidi terlalu percaya diri pe anyaan mudah ya keras keras nama
184,kemarin hujat mengharap dasar bani kampret
185,penjelasan fitnah silakan dibantah apollinaris darmawan al alquran kitab sampah
186,monyet koloe dibilang saudara ogah hidupmu ya hati comberan
187,body lufra scrub bahan dasar lidah buaya melembabkan kulit amp bercahaya info body mass index
188,cacat bermasa
189,penganut bumi datar teori bumi bulat orang asing notabene musuh
190,becak warga binjai disita tenda be uliskan ganti presiden partai keadilan sejahtera meradang bukti pemerintah panik takut
191,jokowi mundur
192,musyawarah nasional alim ulama ppp semarang menghasilkan rekomendasi syarat kriteria kriteria calon wakil presiden mendampingi jokowi romahurmuziy
193,pencerahan nya gagal anak ekonomi wkwk
194,kafan berasal budaya yahudi umat islam mengklaim
195,rezim kendali negara cina komunis patron tunggal rezim anti islam jokowi
196,tanda nya pilihan kepala daerah pemilihan presiden
197,misi membangun masyarakat gotong royong toleran harmoni selaras nilai budaya jawa barat luhur nojabarasyik asyikmnang
198,ketabahan pasangan taufik puan iyana wajar dicontohi jom sumbangan meringankan beban pasangan come on twitter do your berpikir badan standarisasi nasional bank islam iyana bosan abdul razif
199,apa sih tai doang belaganya selangit karma idol flop gue tertawa keras
200,celeng kangen gue iya
201,terangi negeri budaya yuk mengunjungi purwoke o mumpung even rakyat purwoke o e avaganzabanyumas
202,presiden dana taktis kepentingan rakyatnya program pemerintah program pembangunan infrastruktur kip kartu indonesia sehat ifikat tanah perhutanan sosial bahan bakar minyak harga padat karya
203,amin ya allah timnya kinan pelatihan ular rawa rawa dapatnya sungai gede musuhnya buaya wkwk
204,maju memaki mama bolot
205,gerombolan kadal jidat gosong sukanya ribut gerombolannya salah pura budek dasar gerombolan cingkrang
206,gentarnya takut kafir
207,saracen akun kritis dianggap saracen aneh jokowi
208,bego teman gue najis kesal gue
209,kafir kristen ulah
210,tau bau baunya keciri sipit buluk
211,kayak memegang mucikari
212,guru tk darma wanita persatuan desa plumbon porong deklarasi anti hoaks ujaran kebencian isu sarah mendukung pilihan kepala daerah damai
213,anjir seram mainnya begituan
214,kayaknya bank te entu bilang jual uang asing tukar rupiah
215,onta yaman nih setahun gue depo asi
216,hati hati berita pilihan kepala daerah berbau hoaks madiun madiun today thmadiun kotak karismatik madiun tolak cukai ilegal kunjungi
217,anak cocot ya
218,ketahuan hoaks ya fahri ambil berita tuyg pembaruan tong sampah diambil screenshoot taunya berita
219,mantap direct message barisan serba guna bang
220,lebah suka bunga makan bangkai gue penasaran madu nya kayak
221,indonesia mundur bentuk
222,dongok bilang hacker haha
223,haha blunder cebong protein energy malnutrition pusat alasan ham rakyat aceh ya kali coba datangi pemerintah bilang suruh hukum islam kaffah aceh dewan perwakilan rakyat a
224,bangsat gue menyelam
225,dipancing pancing urusan penistaan berbicara pemahaman fiksi kitab suci
226,cebong kacung teman gue dungunya tulang sum buang energi debat
227,ai korupsi sapi goblok
228,sinyal kontol pemeliharaan niat sih login twitter doang susah open redtube setan
229,matanya tak mau kafir wkwk
230,facebook anjir lupa
231,sih bilang alah kontol
232,nikita mirzani pakai hijab berbicara cebang cebong fantasikan uh ah cokorers
233,tatapannya dialihkan arah enggan menatap pria mencurigakan lagi pula pe kali gaduh suasana angie menemukan pria asing tidur sofanya kejadian sepe i
234,lahir berkembangnya gerakan komunis indonesia dipisahkan organisasi bernama indische sociaal democratische vereeniging
235,shaheizy wajah baharu calpis
236,ya terserah balasnya fokus pekerjaan tugas proyek seni budaya setelahnya langsung dikumpul dipresentasikan bersyukur nilainya memuaskan kejadian proyek
237,bro
238,kelakuan bodoh masuk kategori perbuatan menyenangkan kelakuan sontoloyo menganggu persatuan bangsa kelakuan naif langsung bentuk intimidasi ulama kelakuan
239,monyet turun pemukiman warga cibadak sukabumi
240,kotor bahagia warganya cebong nge i
241,giveaway taplak meja menang the rich chenle
242,kebuka kebusukan kubu anies sandi menang berkah prabowo berusaha cuci tangan
243,wkwk bodoh bang
244,kayak orang bego bro b ego
245,kementerian lingkungan hidup dan kehutanan upayakan pemerataan ekonomi tora kawasan hutan perhutanan sosial tribun medan
246,mahfud md berpaling allah subhanahu wa taala pemberang bangsa ajak buang islam
247,orang bego kebanyakan minum amp makan kotoran onta otak nya somplak
248,terkuak strategi kampanye tim pemenangan anies sandi
249,warga badui selesai memperingati tradisi seba pendopo pemerintah kabupaten lebak dilanjutkan be emu gubernur banten wahidin halim sabtu sebabaduy
250,lembaga anti korupsi bubar sentuh kekuasaan giliran komisi pemberantasan korupsi partai demokrasi indonesia perjuangan ai politik penguasa pulang mengotot bubarkan komisi pemberantasan korupsi
251,mas menyudutkan salah agama t entu bahaya rocky cerdik menyusun kalimat amp inti kasih tau pnge ian fiksi ayolah mas nya i
252,pendukung calon presiden gagal pindah on sibuk urus asing bawa kabur uang rupiah t sadar asing kabur bawa uang didukung pribumi anjing mustahil asing pribumi diam disogok mental kacung
253,rabun budek gue menulis berbicara
254,bismillah menahan sepo terkutuk
255,brahahahaaa cebong nya ahoker cebong cebok
256,update status bikin tugas selesai ya jancuk jembut
257,muslim pejabat negara be indak bangsa negara
258,ikan sembuh sakitnya terselamatkan bagus laik jual dipisah diseleksi ikan cacat permanen pemeliharaan kesehatan ikan ncc
259,a inya pribumi sadari lihat kecuali cina komunis misionaris abaikan twit usir cina indonesia
260,presiden tuduh rezim anti islam berbuat negeri berbuat umat
261,manusia bangsat
262,ya cina mengenalkan wisata haram indonesia haha
263,prabowo partai keadilan sejahtera bib asyik dianggap antek prabowo antek partai keadilan sejahtera hidupmu dramatis
264,persahabatan salah lovren bukti beda suku agama ras halangan membina hubungan umat manusia perbedaan warna tersendiri menjalin pe emanan terima kasih lovren salah favorit best friend forever bro
265,lae turun menurun ideologi partai komunis indonesia melekat jiwa
266,kesal merokok motor iyakan kadang pengap ditutup macet
267,maaf kunyuk bro enak banget rasan sebar hoaks maaf sebar hoaks maaf mesti sapu biar jera nih orang
268,halo warga jaka a wakil kepala dinas penanaman modal dan pelayanan terpadu satu pintu provinsi daerah khusus ibukota jaka a denny wahyu haryanto mewakili wakil gubernur provinsi daerah khusus ibukota jaka a membuka acara junior chamber international jci indonesia nasional event setiamelayanijaka a
269,perkuat jaringan gubernur menekankan menguasai state of the a knowledge a bahasa merantau indonesia
270,pandangan tuan guru bajang agama politik
271,penyedia berengsek
272,susilo bambang yudhoyono presiden ri khofifah emil masyarakat no bagus
273,dungu orang ganti presiden tau mikiiiir
274,bokep cewek bispak bandung ngentot crot mengunduh full
275,kampret complain raga ditanggapi fuck
276,kayak jablay grand theft auto maunya dijemput pakai mobil
277,lihat memek tante
278,kerjanya memusuhi dakwah islam bubarkan hati rakyat berhak lengserkan jokowi kodok tukang pencitraan
279,ha melengkapi orang buktinya goblok sih
280,salah khalifah rasyidin memerangi orang kafir orang orang munafik orang munafik
281,suka nete ujian nasional maklumkan
282,nek lihat match chelsea sih menang mudah manchester united iya embuh sih chelsea kacrut ki enggak bisa diprediksi
283,ya kali tentara nasional indonesia suruh uruskan sampah plastik
284,khawatirkan manuver politik kebijakan rezim semoga negara kesatuan republik indonesia tercinta amin
285,permadi arya melaporkan rocky gerung polisi serius kitab suci fiksi rocky pernyataan salah terhina tunggu penganut agama a menganggap kitab suci
286,bajingan tengik
287,pakai buruh cina rakyat pengangguran dasar rejim kodok
288,
289,rupiah haneul cute pacarnya perek on retweet
290,bilangnya anti asing asing taunya wkwk
291,suriah sekolah radikal rakit bom pulang indonesia ya amankan
292,kadang hidup kayak tai kadang berak orang bereskan tainya tangan iya
293,ih banci selotipan
294,haha kalah nih iya orang jahat kalah
295,gubernur zaman now gusipulputi ganjar yasin djarotsihar hasananton kosterace nurdinsudirman karolingidot keanekaragaman budaya suku agama sesungguhnya kekayaan djarot hadapan pese a rakercabsu
296,cinta orde baru meng idola prabowo amp hary tanoe
297,menantang buka dadalah eh menyebut setanlah habis kamus melawan kenegarawanan joko widodo presiden ri stresssssss nih hati kena strok serangan jantung rakyat indonesia kehilangan badut politik merdeka
298,belah duren ya dungu ya cebong maaf ya
299,orang orang yahudi nasrani al kitab taurat injil mengenal muhammad
300,bubarkan hati amp front pembela islam
301,ahok verbalnya keras pelampiasan pelarian kelelakiannya lunak
302,bagikan teman kantor pelanggan bercadar langsung bilang awas bom menghela nafas
303,pantat nih menusuk ditusuk open bo wa gay berondong massage boy gayjaka a gay yogyakarta gay tangger
304,diancam dibunuh presiden republik indonesia mas mesti lapor penegak hukum be indak ancaman pembunuhan kepala negaranya
305,kayak orang nyosor nete
306,ngewe
307,jebur cebur
308,partai keadilan sejahtera ulang tahun balai kota rr berbicara mencalonkan presiden balai kota ganti namanya balai politik
309,melanjutkan rencana menyeret pengadilan ham pbb
310,kebijakan pengembalian barang konsumen barang rusak cacat produksi konsumen puas produk terhitung tanggal pembelian haus mini quiz hazid kunyuk ikutan
311,kisah hidup muhammad lengkap diunduh
312,penjajahan bumi indonesia hapus penjajahan ekonomi budaya hasil bumi cina basmi negara kesatuan republik indonesia usir
313,we pipis onta tercecer mari bau pesing
314,kejadian di sini teriak lantang pm h pro asing lebih dahulu pas ditawari bantuan asing bikin posko intinya mengompori keluarga korban pm h bilang
315,mari berjuang jokowi dilantik gentar takut mata benang leher ujung tombak perut surut langkah bisu suara
316,kayak monyet
317,survei metro televisi jokowi menang presiden menghitungnya ya mengalahkan salah judul maksudnya jokowi menangis sumber zie bajrie
318,
319,cuba tegak anime nih karakai jozu no takagi san nak feeling feeling cinta monyet zaman sekolah throwback habis
320,serunya pesta budaya derau kutai kakak anegara
321,kontaknya retweet ya banget kenalan tante jilboobs sange nini namanya tante dea o
322,debat publik ajang pembuktian pintar ruang akademik pamer indah orang kekuatan kelemahan egosentris namanya kekuatan menahan l
323,duduki istana negara lengserkan jokowi salamtahun
324,hebatnya sibuk pencitraan baca nih
325,muslim menghinakan iblis betina menista syariat
326,baby kafir buddha teroris myanmar
327,indonesia merdeka indonesia dijajah orang cina takbir allahu akbar
328,pengamat politik hanta yudha pasangan calon no nya jawa tengah jawa tengah gayeng tetap jokowi
329,jongos penista agama ahok sok sok ngong sara majikan nya penebar sara astagfirullah tobat
330,follow beli katolik akun prof menambah wawasan berbangsa terima kasih
331,sih bejat cabul pengecut sih onta iya
332,wibisono pencitraan jokowi disebarkan up media massa pro asing terkesan jokowi berhasil
333,adian gaya kayak beruk supir tembak metromini masuk dewan perwakilan rakyat kampungan
334,km mainstream mengaa ikan pintar pintar relatif tergantung dibawa kemana penge iannya surat pemberitahuan tahunan pintar meng undeeestimate orang gue pintar komen rejim now pintar mangkrakan janji doang sok making
335,gue dongok
336,ih masak samakan sampah
337,gue terpukau ganti presiden
338,aspirasi lina sumedang calon gubernur jabar berantas perebut laki orang meresahkan kehidupan warga desa
339,yaelah chat uruskan mesum anggota dewan perwakilan rakyat diam nyata selingkuh pura budek bong otaknya
340,takut cina i dap bimbang pemahaman dibawa
341,cermin pecah berkaca
342,langsung tag ainya berani ya bera i banci
343,awwww comel nya asing warna
344,islam menjadikan manusia idealis realistis kehidupan lupa diajak keras diajak beristirahat
345,kristus anjing anjing jembut keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk k
346,agama katolik menyebut katolik nusantara agama kristen protestan menyebut kristen protestan nusantara agama hindu menyebut hindu nusantara agama buddha menyebut buddha nusantara
347,berbasis teknologi digital presiden sistem jalan langsung ramah pengguna ratas
348,ah perasaanmu menghibur cebong bahagia presiden cebong tol cebong germo
349,resah presiden hidup penuh drama pencitraan main film televisi joko judulnya
350,agama kristen golongan darah b nasal san fernando valley
351,buddha bunuh muslim myanmar
352,yahudi bangkai jerman ibadah
353,papa minta ketua fraksi rakyat nya setya novanto dewan perwakilan rakyat pecat ketua dewan perwakilan rakyat pecat dewan perwakilan rakyat
354,cina
355,hoaks kodok biawak meroket sekop bangsat karbitan munafik ganti presiden presidenbaru tenggelamkanjokowikesungaisiak
356,ribut komunis bla bla emoh baca baca niat agitasi menyerang pemerintah pakai cari simpatisan
357,presiden jokowi berharap skema kerja pembangunan pembangunan
358,pemilihan umum langsung biar memilih presiden dewan perwakilan rakyat calon presiden biar kayak kucing karung bikin mekanisme oke calon presiden ditentukan gubernur berprestasi maju calon presiden gubernur
359,vital inter bek kanan pembeda ya era maicon ambrosio kedatangan cancelo bagusnya nhmmmm bera i kesimpulannya geblek ausilio
360,namanya agama munafik
361,contoh tudingan dugaan korupsi susilo bambang yudhoyono dorong kejaksaan usut himbau komisi pemberantasan korupsi usut dugaan korupsi jokowi
362,mencium bau bau pecun
363,berhenti konsumen wisata haji rumah menipu produsen wisata jiarah indonesia
364,pemburu nazi simon wiesenthal memegang foto foto menggambarkan mantan kepala gestapo laki laki rauf van kamar gas bergerak mengeksekusi orang orang yahudi
365,caci maki penista agama ketahuan poligami mengumpet dibegitukan sih ogah
366,bubarkan negara kesatuan republik indonesia harga mati
367,sih royson jokowi kacung gue alasan fundamentalnya rezim sepe i sengaja masuk debt trap komunis cina north sumatera offshore wajib ganti presiden
368,wkwk mampus pepet ujian ah
369,gubernur jaman now ya anti hoaks menyebar isu ganjar yasin menang ganjar yasin kami ganjar yasin
370,azan televisi memanggil allah subhanahu wa taala dungu biadab dihentikan acara catut nama tuhan dilanjutkan
371,kelakuan bani cebong
372,baju yahudi bertopi bas geng jubah putih kopiah minyak atar berjanggut dahi belekok bak ahli syurga nih out of place mohon dirajam
373,gue ge marah auto daftar hitam kehidupan gue sampah gunanya didaur ulang
374,anjir bekas silit
375,cebong kepanasan ngawur
376,amin semoga be iga menampilkan terbaik menyumbangan medali sumatra selatan
377,
378,gubernur zaman now gusipulputi ganjar yasin djarotsihar hasananton kosterace nurdinsudirman karolingidot keanekaragaman budaya suku agama sesungguhnya kekayaan djarot hadapan pese a rakercabsu
379,membingkai bangkai menjadikannya pelajaran hidup
380,edan pemula menangis lihatnya ya ampun kakak r gue banget
381,partai komunis indonesia alias ai korupsi indonesia diganyang
382,perempuan kayak mending mati deh jelek enggak usah sok make up a ist
383,dijual gue kayak jablay
384,bijak petugas jajaran kereta listrik doang penumpang pengikut doang menyuruh orang menge i menge i kebutuhan orang bangkai
385,titit nya sambung pakai accessoris
386,mata gue pas sipit aneh banget
387,banci gigih natural killer
388,mewaspadai cina komunis indonesia
389,banci kampungan heeee
390,gembel ganteng dikasihani mencintainya asyik asyik hebat
391,deklarasi pilihan kepala daerah aman anti hoaks toga jemirahan jabon
392,setia usaha agung pas datuk takiyuddin hasan sahkan cuba pinda perlembagaan i sepe i presiden i
393,memangnya najis
